Index,Body of Size Rank 1 Area,Body of Size Rank 2 Area,Body of Size Rank 3 Area,Body of Size Rank 4 Area,Body of Size Rank 5 Area
315,292637.0,221451.44,113827.79,58007.27,44130.734
316,292690.66,221834.83,113828.984,58036.117,44132.73
317,292703.88,221616.55,113801.95,58015.05,44137.848
318,292644.2,222473.4,113770.945,58013.51,44149.406
319,291748.25,221797.73,113743.93,58001.004,44162.42
320,291739.9,221589.47,113766.37,57209.71,44168.457
321,290995.7,221874.86,113728.484,57212.55,44162.86
322,290984.5,221891.05,113694.4,57224.695,44164.707
323,291842.5,221977.02,113664.67,57242.633,44148.477
324,291851.94,221886.61,113629.32,57246.133,44128.473
325,292799.28,222003.25,113585.25,57246.84,44089.723
326,293532.56,221947.55,113535.766,57259.34,44094.69
327,291873.53,222062.14,112669.65,57256.402,44464.266
328,291910.5,222220.95,112641.086,57253.004,44030.047
329,292850.56,221924.83,113391.42,57251.55,44026.53
330,290389.28,222793.39,113329.85,57210.77,44788.047
331,290354.4,222837.81,114100.22,57202.312,44784.47
332,290506.72,223337.28,113208.984,57141.082,44766.668
333,291357.2,223649.1,113218.05,57140.742,44759.023
334,291408.56,223407.98,113182.44,57147.113,44758.08
335,291400.94,223441.61,113139.2,56314.824,44725.85
336,291405.62,223607.34,113100.42,56319.062,44707.5
337,291461.97,223370.34,113853.18,56312.58,45316.74
338,292223.94,223366.9,113043.625,56286.633,46123.74
339,292274.6,223451.22,113052.69,54681.965,45329.64
340,292202.22,223417.34,113022.16,54703.98,45350.76
341,292150.25,222596.48,112998.47,54696.355,45361.48
342,292155.38,222607.81,112211.15,54705.297,45395.562
343,291411.7,222365.61,112188.95,54689.945,45368.695
344,291480.16,223230.0,112208.98,54720.44,44639.156
345,291503.94,223319.67,112208.46,54683.633,43901.242
346,291490.72,223820.58,112181.1,54679.445,43870.027
347,291602.28,223903.33,112153.98,54652.992,43836.938
348,293127.3,223551.12,113478.125,57819.16,43100.973
349,291070.8,223723.25,113897.86,57204.418,43425.633
350,291760.7,223963.64,114685.47,57214.21,43413.562
351,292586.66,223111.3,114643.875,57232.25,43405.52
352,291885.0,222277.73,113851.75,58022.67,43375.195
353,292699.84,223240.55,113830.68,58034.67,43370.992
354,292739.22,221607.84,113809.305,58037.42,44149.75
355,293503.28,222514.98,113819.016,58028.406,44171.555
356,292764.78,221910.23,113785.016,58014.8,44174.82
357,291102.6,221785.22,113790.04,57218.77,44161.152
358,291084.3,221891.47,113728.32,57244.508,44164.305
359,291929.66,221963.08,113675.46,57254.785,44144.32
360,291855.5,221985.45,113624.12,57256.508,44119.58
361,291905.1,222008.36,113599.87,57276.254,44119.97
362,291886.53,222042.9,113559.95,57262.227,44079.285
363,292775.78,221913.23,112663.9,57267.27,44051.605
364,291933.34,221997.42,112588.89,57247.184,44024.383
365,291098.6,222804.11,114139.86,57218.598,44796.45
366,291184.88,222689.05,113247.6,57180.168,44764.51
